ID,requirement_type,requirement,exact_text_quote
c-q1-03,functional,Provide autocomplete to reduce keystrokes,To have an autocomplete or reduce the amount of keystrokes I make.
c-q1-03,functional,Help developers finish programming tasks faster,To finish my programming tasks faster.
c-q1-03,functional,"Provide offline recall of code snippets, syntax, and API calls so users need not go online","To skip needing to go online to find specific code snippets, programming syntax, or API calls I’m aware of, but can’t remember."
c-q1-03,functional,Allow users to control the tool to generate desired output,I have trouble controlling the tool to generate code that I find useful.
c-q1-03,non-functional,"Generated code must meet required functional and non-functional constraints (e.g., security, performance)","Code generation tools write code that doesn’t meet functional or non-functional (e.g., security, performance) requirements that I need."
c-q1-03,functional,Explain which parts of the input (code or comments) influenced a suggestion,I don’t know what part of my code or comments the code generation tool is using to make suggestions.
c-q1-03,functional,Accept user feedback to learn from corrections and personalize behavior,"User feedback (52×). Most frequently, participants wanted to provide feedback to the AI programming assistant for it to learn from."
c-q1-03,non-functional,Avoid producing code that infringes on intellectual property,Code generation tools produce code that infringe on intellectual property.
c-q1-03,non-functional,Protect users' code privacy and control access to their code,Code generation tools have access to my code.
c-q1-03,functional,"Leverage broader code context (e.g., other workspace files) to improve suggestions",context from other files on the same workspace
c-q1-03,functional,"Provide provenance and links (e.g., snippet link, license, author) and link to documentation for suggestions","These tools must show where the code snippet comes from and include the code link of snippet, license, author name if available for better references for that specific code."
c-q1-03,functional,Offer multiple alternative suggestions for a given request,Maybe multiple suggestions and then I pick the best.
c-q1-03,non-functional,"Ensure outputted code is complete, resembles the input, and is runnable/testable (add extra checks)","Add extra checks to outputted code to ensure it resembles the input given and that the outputted code is complete and can be run. Often the outputted code that I am given is incomplete, lacks the ability to run or [be] tested immediately."
c-q1-03,non-functional,"Provide configurable suggestion verbosity and adjustable parameters (e.g., reduce suggestion frequency)",I’d like to be able to ask it to calm down sometimes instead of constantly trying to suggest random stuff.
c-q1-03,non-functional,"Generate readable, not overly terse/one-line code (improve readability)","Sometimes AI suggest code [with] one lines or short hand logic, which is difficult to read and understand."
c-q2-07,functional,"System shall be structured into three core modules: agent community, coordination layer, and environment layer.","Bio-Copilot is functionally structured into three core modules: an agent community , a coordination layer, and an e nvironment layer, as illustrated in Fig. 1b."
c-q2-07,functional,"Each agent shall perceive environmental inputs, reason through natural language instructions, and execute actions.","The agent community forms the cognitive backbone, where each agent powered by an LLM perceives environmental inputs, reasons through natural language instructions, and executes actions."
c-q2-07,functional,"Coordination layer shall orchestrate behaviors via task allocation, conflict resolution, and collaborative optimization.","The coordination layer, bridging agents and the environment, orchestrates behaviors through task allocation, conf lict resolution, and collaborative optimization."
c-q2-07,functional,Environment layer shall integrate physical and digital entities to form a dynamic closed-loop feedback context.,"The environment layer integrates both physical (experts, lab devices) and digi tal (datasets, software) entities, forming a dynamic context where agent actions iteratively modify environmental states, establishing a closed-loop feedback system."
c-q2-07,functional,"System shall divide agents into three specialized groups: coarse-level planning, fine-level planning, and action execution.","It divides agents into three specialized groups, i.e. coarse-level planning, fine-level planning, and action execution, which ensures clear responsibility demarcation and reduces redundant information exchange."
c-q2-07,functional,Agents shall autonomously determine when to engage human researchers using a rule- and prompt-driven approach.,The human–agent interaction mechanism employs a rule- and prompt-driven approach that enables agents to autonomously determine when to engage human researchers
c-q2-07,functional,System shall provide a shared interdisciplinary knowledge database that encodes methods and tool documents into an agent-intelligible format.,"we established a shared knowledge database which encodes expertise from diverse fields, including various methods and tool documents, into an agent-intelligible format within Bio-Copilot"
c-q2-07,functional,Agents shall support self-reflective learning from their own and other agents' behaviors to progressively refine decision-making and execution.,"agents engage in both self-reflective learning from their own behaviors and other agents’ behaviors, progressively refining their decision-making and execution capabilities over time."
c-q2-07,functional,"System shall decompose bioinformatics tasks into modular, hierarchical steps and formulate rules for task allocation and scheduling.","Initiated by scientific insights from LLMs, Bio-Copilot decomposes a bioinformatics task into modular, hierarchical steps and then formulates rules for task allocation and scheduling."
c-q2-07,functional,User input shall be processed by a coarse-level planning group to create an overall plan which is then executed step by step.,"Specifically , user input is first processed by the coarse-level planning group to create an overall plan, which is then executed step by step."
c-q2-07,functional,"Agents within groups shall be assigned distinct roles (e.g., planner, coder) and collaborate to fulfill group objectives.","agents are assigned distinct roles, such as planner and coder, and collaborate to fulfill the group’s objective."
c-q2-07,non-functional,"Generated code quality shall meet multiple dimensions including accuracy, efficiency, completeness, readability, logicality, portability, maintainability, usability, reusability, robustness, security, and scalability.","The code quality evaluation assesses Bio-Copilot’s understanding of execution plans across multiple dimensions, including accuracy , efficiency , completeness, readability , logicality , portability , maintainability , usability , reusability , robustness, security , and scalability ."
c-q2-07,non-functional,"Task planning shall achieve clarity, technical feasibility, structurality, comprehensiveness, rational method selection, risk management, data management, scientific rigor, resource allocation, and scalability.","Task planning evaluation assesses the ability of Bio-Copilot to decompose bioinformatics tasks and formulate execution plans for clarity , technical feasibility , structurality , comprehensiveness, rationality of method selection, risk management, data management, scientific rigor, resource allocation, and scalability ."
