article_ID,requirement_type,requirement,exact_text_quote
a-01,functional,The system shall support knowledge transfer by helping users close perceived knowledge gaps through exchanging existing knowledge or building new knowledge.,Any attempt to close a perceived knowledge gap by exchanging existing knowledge or building new knowledge is considered knowledge transfer [22].
a-01,functional,The system shall support episodes in which a user explicitly expresses a need for knowledge or shares knowledge they possess.,"An episode is defined as a sequence of related utterances focused on a single topic, initiated either by a person explicitly expressing a need for knowledge or a person sharing knowledge they possess with others."
a-01,functional,The system shall support knowledge transfer about the IDE or how to use the tool.,TOOL Knowledge about the IDE or how to use the tool.
a-01,functional,The system shall support knowledge transfer about the programming language itself or its syntax.,PROGRAM Knowledge about the programming language itself or it’s syntax.
a-01,functional,The system shall support knowledge transfer about errors in the code.,BUG An error in the code.
a-01,functional,The system shall support knowledge transfer about the code itself.,"CODE The code itself; i.e., what they are programming"
a-01,functional,The system shall support knowledge transfer about the task being implemented.,DOMAIN The task (in case of [ 7]: implement tic-tac-toe game)
a-01,functional,The system shall support knowledge transfer about the techniques being used.,"TECHNIQUE About the techniques being used (i.e., test driven development, pair programming)"
a-01,functional,The system shall support suggestions that can be accepted without full understanding when users rely on the system’s perceived expertise or correctness.,"The episode ends with the customer accepting the partner’s contribution without fully understanding it, relying on the partner’s perceived expertise or correctness."
a-01,functional,The system shall support suggestions that remind users of important code details they might otherwise overlook.,GITHUB COPILOT can subtly remind developers of important code details they might otherwise overlook.
a-01,functional,The system shall support code generation while providing an experience similar to working with a human partner.,our approach emphasizes code generation while offering the human programmer an experience similar to working with a human partner.
a-01,functional,"The system shall support proactive suggestions that can convey critical information subtly, even without an explicit prompt or preceding comment.",GITHUB COPILOT can also convey critical information subtly.
a-01,functional,The system shall support suggestions that help users remember to add commit statements after database transactions.,GITHUB COPILOT suggested that adding such commit statement is crucial for the program to function correctly.
a-01,functional,The system shall support users in verifying that generated code actually fulfills its purpose.,a programmer creates code with the help of the assistant and verifies (verbally) that the code actually fulfills its purpose.
a-01,non-functional,The system shall promote focused interactions.,GITHUB COPILOT promotes more focused interactions
a-01,non-functional,The system shall support development efficiency.,combining both approaches can enhance development efficiency and focus while preserving the benefits of human collaboration.
a-02,functional,The system shall help users author new code and refactor existing code.,Authoring new code and/or refactoring existing code
a-02,functional,"The system shall generate unit, integration, and functional tests.","Generating unit, integration and functional tests"
a-02,functional,The system shall assist users in debugging their code.,Debugging your code
a-02,functional,The system shall perform root cause analysis for bugs and incidents.,Performing root cause analysis for bugs and incidents
a-02,functional,"The system shall analyze code for defects, vulnerabilities, or optimizations.","Analyzing your code for defects, vulnerabilities or optimizations"
a-02,functional,The system shall help users write documentation.,Writing documentation
a-02,functional,The system shall clarify requirements.,Clarifying requirements
a-02,functional,The system shall reduce boilerplate code and help sketch out a framework.,"It’s fantastic for boilerplate, or roughly sketching out a framework."
a-02,functional,The system shall help users interact with unfamiliar APIs.,I often have to look up usage of APIs that I am not familiar with. I do not want to have to sift through [documentation].
a-02,functional,The system shall allow users to describe what they want in natural language or voice.,"Instead of writing code, I should be able to talk to the AI using voice, describe what I want."
a-02,functional,The system shall help users focus on the bigger picture while handling implementation details.,It would be great to be able to focus on the bigger picture of making code changes and letting my ‘copilot’ worry about the implementation details.
a-02,functional,The system shall check code prior to peer code review.,It would be absolutely awesome to have AI check code prior to asking peers for code reviews.
a-02,functional,The system shall create documentation from previously written code.,"If AI is able to create documentation from previously written code, that would make onboarding onto unfamiliar code a lot easier."
a-02,functional,The system shall support human proofreading and edits to ensure documentation accuracy.,software engineers still need to read through the generated documentation and make edits to ensure accuracy.
a-02,functional,The system shall auto-analyze incidents and identify or approximate the root cause.,I would like tools to auto-analyze and identify the root cause of [service incidents] or at least get me close.
a-02,functional,The system shall run queries and find where faults happened during incident analysis.,"Run queries, find where the faults happened, add that to the ticket."
a-02,functional,The system shall add incident analysis results to the ticket.,"Run queries, find where the faults happened, add that to the ticket."
a-02,functional,The system shall help users test and debug code.,"the AI should be able to write the code, analyze it, optimize it, help me test and debug it, and then help me create and manage the PRs to get the code into the repo."
a-02,functional,The system shall help users create and manage pull requests to get code into the repository.,"the AI should be able to write the code, analyze it, optimize it, help me test and debug it, and then help me create and manage the PRs to get the code into the repo."
a-02,functional,The system shall explain why it recommends particular actions or code changes.,I think it’s important in the long run to teach engineers why Copilot is recommending its particular way to do things.
a-02,non-functional,The system shall be transparent and understandable.,AI tool developers need to ensure that their offerings are not just technologically advanced but also transparent and understandable.
a-02,functional,The system shall provide documentation or explanatory frameworks for its behavior.,This can be achieved by accompanying AI tools with documentation and explanatory frameworks or integration of explainable AI[10](#B10) in the tools.
a-02,functional,The system shall support explainable AI.,This can be achieved by accompanying AI tools with documentation and explanatory frameworks or integration of explainable AI[10](#B10) in the tools.
a-02,functional,The system shall allow users to reason with AI to accept or reject results.,This allows the developer to reason with AI to make a sound decision to accept or reject the results.
