Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Data-Copilot: Bridging Billions of Data and Humans with Autonomous Workflow","Data-Copilot is a data analysis agent that autonomously processes and visualizes massive data tailored to diverse human requests, reducing errors and improving efficiency.","Wenqi Zhang, Yongliang Shen, Weiming Lu, Y. Zhuang",2023,73,"Industries such as finance, meteorology, and energy generate vast amounts of data daily. Efficiently managing, processing, and displaying this data requires specialized expertise and is often tedious and repetitive. Leveraging large language models (LLMs) to develop an automated workflow presents a highly promising solution. However, LLMs are not adept at handling complex numerical computations and table manipulations and are also constrained by a limited context budget. Based on this, we propose Data-Copilot, a data analysis agent that autonomously performs querying, processing, and visualization of massive data tailored to diverse human requests. The advancements are twofold: First, it is a code-centric agent that receives human requests and generates code as an intermediary to handle massive data, which is quite flexible for large-scale data processing tasks. Second, Data-Copilot involves a data exploration phase in advance, which explores how to design more universal and error-free interfaces for real-time response. Specifically, it actively explores data sources, discovers numerous common requests, and abstracts them into many universal interfaces for daily invocation. When deployed in real-time requests, Data-Copilot only needs to invoke these pre-designed interfaces, transforming raw data into visualized outputs (e.g., charts, tables) that best match the user's intent. Compared to generating code from scratch, invoking these pre-designed and compiler-validated interfaces can significantly reduce errors during real-time requests. Additionally, interface workflows are more efficient and offer greater interpretability than code. We open-sourced Data-Copilot with massive Chinese financial data, such as stocks, funds, and news, demonstrating promising application prospects.","","ArXiv","","10.48550/arxiv.2306.07209","https://consensus.app/papers/datacopilot-bridging-billions-of-data-and-humans-with-zhang-shen/02d65ba00d9259668bcaa53cbe65d80b/"
"Practices and Challenges of Using GitHub Copilot: An Empirical Study","GitHub Copilot is a useful tool for auto-completing source code, but integration challenges make it a double-edged sword for developers.","Beiqi Zhang, Peng Liang, X. Zhou, Aakash Ahmad, Muhammad Waseem",2023,51,"With the advances in machine learning, there is a growing interest in AI-enabled tools for autocompleting source code. GitHub Copilot, also referred to as the""AI Pair Programmer"", has been trained on billions of lines of open source GitHub code, and is one of such tools that has been increasingly used since its launch on June 2021. However, little effort has been devoted to understanding the practices and challenges of using Copilot in programming with auto-completed source code. To this end, we conducted an empirical study by collecting and analyzing the data from Stack Overflow (SO) and GitHub Discussions. More specifically, we searched and manually collected 169 SO posts and 655 GitHub discussions related to the usage of Copilot. We identified the programming languages, IDEs, technologies used with Copilot, functions implemented, benefits, limitations, and challenges when using Copilot. The results show that when practitioners use Copilot: (1) The major programming languages used with Copilot are JavaScript and Python, (2) the main IDE used with Copilot is Visual Studio Code, (3) the most common used technology with Copilot is Node.js, (4) the leading function implemented by Copilot is data processing, (5) the significant benefit of using Copilot is useful code generation, and (6) the main limitation encountered by practitioners when using Copilot is difficulty of integration. Our results suggest that using Copilot is like a double-edged sword, which requires developers to carefully consider various aspects when deciding whether or not to use it. Our study provides empirically grounded foundations and basis for future research on the role of Copilot as an AI pair programmer in software development.","","","","10.18293/seke2023-077","https://consensus.app/papers/practices-and-challenges-of-using-github-copilot-an-zhang-liang/9f21248b26ce5831ab3a179fc2bbad16/"
"Data for Mathematical Copilots: Better Ways of Presenting Proofs for Machine Learning","Boosting AI-based mathematical copilots requires better datasets and evaluation criteria, with a focus on richer facets of mathematical research practice.","Simon Frieder, Jonas Bayer, Katherine M. Collins, Julius Berner, Jacob Loader, Andr'as P. Juh'asz, Fabian Ruehle, S. Welleck, Gabriel Poesia, Ryan-Rhys Griffiths, Adrian Weller, Anirudh Goyal, Thomas Lukasiewicz, Timothy Gowers",2024,8,"The datasets and benchmarks commonly used to train and evaluate the mathematical capabilities of AI-based mathematical copilots (primarily large language models) exhibit several shortcomings and misdirections. These range from a restricted scope of mathematical complexity to limited fidelity in capturing aspects beyond the final, written proof (e.g. motivating the proof, or representing the thought processes leading to a proof). These issues are compounded by a dynamic reminiscent of Goodhart's law: as benchmark performance becomes the primary target for model development, the benchmarks themselves become less reliable indicators of genuine mathematical capability. We systematically explore these limitations and contend that enhancing the capabilities of large language models, or any forthcoming advancements in AI-based mathematical assistants (copilots or ``thought partners''), necessitates a course correction both in the design of mathematical datasets and the evaluation criteria of the models'mathematical ability. In particular, it is necessary for benchmarks to move beyond the existing result-based datasets that map theorem statements directly to proofs, and instead focus on datasets that translate the richer facets of mathematical research practice into data that LLMs can learn from. This includes benchmarks that supervise the proving process and the proof discovery process itself, and we advocate for mathematical dataset developers to consider the concept of""motivated proof"", introduced by G. P\'olya in 1949, which can serve as a blueprint for datasets that offer a better proof learning signal, alleviating some of the mentioned limitations.","","ArXiv","","10.48550/arxiv.2412.15184","https://consensus.app/papers/data-for-mathematical-copilots-better-ways-of-presenting-frieder-bayer/7a260cae13175d0990d4dc1a31c34844/"
"Transformer Copilot: Learning from The Mistake Log in LLM Fine-tuning","Transformer Copilot improves language model performance by up to 34.5% by leveraging past mistakes and combining pilot and copilot models in fine-tuning.","Jiaru Zou, Yikun Ban, Zihao Li, Yunzhe Qi, Ruizhong Qiu, Ling Yang, Jingrui He",2025,9,"Large language models are typically adapted to downstream tasks through supervised fine-tuning on domain-specific data. While standard fine-tuning focuses on minimizing generation loss to optimize model parameters, we take a deeper step by retaining and leveraging the model's own learning signals, analogous to how human learners reflect on past mistakes to improve future performance. We first introduce the concept of Mistake Log to systematically track the model's learning behavior and recurring errors throughout fine-tuning. Treating the original transformer-based model as the Pilot, we correspondingly design a Copilot model to refine the Pilot's inference performance via logits rectification. We name the overall Pilot-Copilot framework the Transformer Copilot, which introduces (i) a novel Copilot model design, (ii) a joint training paradigm where the Copilot continuously learns from the evolving Mistake Log alongside the Pilot, and (iii) a fused inference paradigm where the Copilot rectifies the Pilot's logits for enhanced generation. We provide both theoretical and empirical analyses on our new learning framework. Experiments on 12 benchmarks spanning commonsense, arithmetic, and recommendation tasks demonstrate that Transformer Copilot consistently improves performance by up to 34.5%, while introducing marginal computational overhead to Pilot models and exhibiting strong scalability and transferability. Our code is released at https://github.com/jiaruzouu/TransformerCopilot.","","ArXiv","","10.48550/arxiv.2505.16270","https://consensus.app/papers/transformer-copilot-learning-from-the-mistake-log-in-llm-zou-ban/4ee30d89d0d45c6291e382be63061cf2/"
"Copilot in the Cloud: Evaluating the Accuracy and Speed of LLMs in Data Engineering Tasks","Large language models (LLMs) can improve developer velocity, reduce syntax errors, and impact quality assurance cycles in data engineering tasks, but must be managed for safety and compliance.","Sunny Kesireddy",2025,0,"The integration of large language models (LLMs) into enterprise workflows has opened new frontiers in cloud data engineering. This article presents a comprehensive evaluation of AI copilots in the development of scalable data pipelines across regulated environments. The article benchmarks LLMs on key engineering tasks including pipeline scaffolding, SQL optimization, IAM policy generation, and compliance rule encoding, providing insights into their capabilities and limitations in specialized technical contexts. It measures improvements in developer velocity, reduction in syntax errors, and overall impact on quality assurance cycles. Beyond automation, the article assesses how LLMs learn and generalize patterns from metadata-driven frameworks—making intelligent suggestions aligned with domain rules and architectural best practices. Special attention is given to the risks of hallucination, governance gaps, and security considerations that organizations must actively manage. It contributes to a deeper understanding of human-AI pair programming in high-stakes data systems, offering a framework for safely scaling AI-augmented development across data teams while preserving auditability, trust, and compliance.","","World Journal of Advanced Engineering Technology and Sciences","","10.30574/wjaets.2025.15.3.1049","https://consensus.app/papers/copilot-in-the-cloud-evaluating-the-accuracy-and-speed-of-kesireddy/7eeff0b8485b50938b3ab70df8e4e5d3/"
"Data Wrangling in R with Copilot","This one-day seminar teaches participants how to efficiently handle large datasets and perform complex analyses using the 'data.table' package in R with the help of LLMs.","Fodil Ihaddaden",2025,0,"This one-day seminar provides a comprehensive exploration of data wrangling in R with Copilot, focusing on the `data.table` package to enhance data analysis skills through fast, robust, and efficient data manipulation techniques. Participants will gain a profound understanding of `data.table` syntax and applications with the help of LLMs via Copilot, empowering them to handle large datasets and perform complex analyses efficiently in various academic and professional research contexts.","","","","10.61700/2v0l6qj7jpnx61696","https://consensus.app/papers/data-wrangling-in-r-with-copilot-ihaddaden/b8f0008a80b25d4e84bd81324ee4a2dc/"
"AI Copilots for Reproducibility in Science: A Case Study","AI-driven ""Reproducibility Copilot"" can significantly reduce reproducibility time and improve scientific communication by detecting barriers and recommending improvements.","Adrien Bibal, Steven N. Minton, Deborah Khider, Yolanda Gil",2025,2,"Open science initiatives seek to make research outputs more transparent, accessible, and reusable, but ensuring that published findings can be independently reproduced remains a persistent challenge. In this paper we describe an AI-driven""Reproducibility Copilot""that analyzes manuscripts, code, and supplementary materials to generate structured Jupyter Notebooks and recommendations aimed at facilitating computational, or""rote"", reproducibility. Our initial results suggest that the copilot has the potential to substantially reduce reproduction time (in one case from over 30 hours to about 1 hour) while achieving high coverage of figures, tables, and results suitable for computational reproduction. The system systematically detects barriers to reproducibility, including missing values for hyperparameters, undocumented preprocessing steps, and incomplete or inaccessible datasets. Although preliminary, these findings suggest that AI tools can meaningfully reduce the burden of reproducibility efforts and contribute to more transparent and verifiable scientific communication.","","ArXiv","","10.48550/arxiv.2506.20130","https://consensus.app/papers/ai-copilots-for-reproducibility-in-science-a-case-study-bibal-minton/e032a2ca0ed35351bb05aa5cd3af6e64/"
"On the Design of AI-powered Code Assistants for Notebooks","AI-powered code assistants in computational notebooks should focus on disambiguation, domain-specific tools, and politeness to effectively support exploratory and presentational work.","A. Mcnutt, Chenglong Wang, R. Deline, S. Drucker",2023,95,"AI-powered code assistants, such as Copilot, are quickly becoming a ubiquitous component of contemporary coding contexts. Among these environments, computational notebooks, such as Jupyter, are of particular interest as they provide rich interface affordances that interleave code and output in a manner that allows for both exploratory and presentational work. Despite their popularity, little is known about the appropriate design of code assistants in notebooks. We investigate the potential of code assistants in computational notebooks by creating a design space (reified from a survey of extant tools) and through an interview-design study (with 15 practicing data scientists). Through this work, we identify challenges and opportunities for future systems in this space, such as the value of disambiguation for tasks like data visualization, the potential of tightly scoped domain-specific tools (like linters), and the importance of polite assistants.","","Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems","","10.1145/3544548.3580940","https://consensus.app/papers/on-the-design-of-aipowered-code-assistants-for-notebooks-mcnutt-wang/4e40eb48eb1b5801a415c3ef06cc72ab/"
"Challenges in Using Conversational AI for Data Science","Data scientists face challenges in interacting with conversational AI assistants, such as retrieving contextual data, crafting prompts, adapting code to local environments, and refining prompts iteratively.","Bhavya Chopra, Ananya Singha, Anna Fariha, Sumit Gulwani, Chris Parnin, Ashish Tiwari, Austin Z. Henley",2025,1,"Large Language Models (LLMs) are transforming data science, offering assistance in coding, preprocessing, analysis, and decisionmaking. However, data scientists face significant challenges when interacting with LLM-powered agents and implementing their suggestions effectively. To explore these challenges, we conducted a mixed-methods study comprising contextual observations, semi-structured interviews (n=14), and a survey (n=114). Our findings reveal key obstacles, including difficulties in retrieving contextual data, crafting prompts for complex tasks, adapting generated code to local environments, and refining prompts iteratively. Based on these insights, we propose actionable design recommendations, such as data brushing for improved context selection and inquisitive feedback loops to enhance communication with conversational AI assistants in data science workflows.","","Proceedings of the Workshop on Human-In-the-Loop Data Analytics","","10.1145/3736733.3736748","https://consensus.app/papers/challenges-in-using-conversational-ai-for-data-science-chopra-singha/ae168f8ec76c5e599dbbdb06d282cdf9/"
"LLM4DS: Evaluating Large Language Models for Data Science Code Generation","Large Language Models (LLMs) can effectively generate data science code, with ChatGPT and Claude showing consistent performance across various difficulty levels, but limitations in higher standards.","Nathalia Nascimento, Everton Guimarães, Sai Sanjna Chintakunta, Santhosh Anitha Boominathan",2024,6,"The adoption of Large Language Models (LLMs) for code generation in data science offers substantial potential for enhancing tasks such as data manipulation, statistical analysis, and visualization. However, the effectiveness of these models in the data science domain remains underexplored. This paper presents a controlled experiment that empirically assesses the performance of four leading LLM-based AI assistants-Microsoft Copilot (GPT-4 Turbo), ChatGPT (o1-preview), Claude (3.5 Sonnet), and Perplexity Labs (Llama-3.1-70b-instruct)-on a diverse set of data science coding challenges sourced from the Stratacratch platform. Using the Goal-Question-Metric (GQM) approach, we evaluated each model's effectiveness across task types (Analytical, Algorithm, Visualization) and varying difficulty levels. Our findings reveal that all models exceeded a 50% baseline success rate, confirming their capability beyond random chance. Notably, only ChatGPT and Claude achieved success rates significantly above a 60% baseline, though none of the models reached a 70% threshold, indicating limitations in higher standards. ChatGPT demonstrated consistent performance across varying difficulty levels, while Claude's success rate fluctuated with task complexity. Hypothesis testing indicates that task type does not significantly impact success rate overall. For analytical tasks, efficiency analysis shows no significant differences in execution times, though ChatGPT tended to be slower and less predictable despite high success rates. This study provides a structured, empirical evaluation of LLMs in data science, delivering insights that support informed model selection tailored to specific task demands. Our findings establish a framework for future AI assessments, emphasizing the value of rigorous evaluation beyond basic accuracy measures.","","ArXiv","","10.48550/arxiv.2411.11908","https://consensus.app/papers/llm4ds-evaluating-large-language-models-for-data-science-nascimento-guimar%C3%A3es/731e705701325a8fb4fb566d32c1c072/"
