article_ID,requirement_type,requirement,exact_text_quote
c-q1-03,functional,The system shall provide autocomplete functionality to reduce the number of keystrokes the user must type.,M1 To have an autocomplete or reduce the amount of keystrokes I make.
c-q1-03,functional,"The system shall provide internal recall of code snippets, programming syntax, and API calls so users do not need to search online.","M3 To skip needing to go online to find specific code snippets, programming syntax, or API calls I’m aware of, but can’t remember."
c-q1-03,functional,"The system shall generate code that meets specified functional and non-functional requirements (e.g., security, performance).","M6 Code generation tools write code that doesn’t meet functional or non-functional (e.g., security, performance) requirements that I need."
c-q1-03,functional,The system shall provide controls that allow users to direct the generation to produce desired code.,M7 It’s hard to control code generation tools to get code that I want.
c-q1-03,functional,The system shall indicate which parts of the user’s code or comments influenced a generated suggestion.,S1 I don’t know what part of my code or comments the code generation tool is using to make suggestions.
c-q1-03,functional,"The system shall perform checks to ensure generated code resembles the user’s input, is complete, and is runnable or testable immediately.","Add extra checks to outputted code to ensure it resembles the input given and that the outputted code is complete and can be run. Often the outputted code that I am given is incomplete, lacks the ability to run or [be] tested immediately."
c-q1-03,functional,"The system shall provide provenance information for generated code, including source links, license, and author information when available.","These tools must show where the code snippet comes from and include the code link of snippet, license, author name if available for better references for that specific code."
c-q1-03,non-functional,The system shall use interaction designs that require minimal cognitive effort and reduce user distraction while users are programming.,designing minimal cognitive effort interactions with these tools to reduce distractions for users while they are programming.
c-q1-03,functional,The system shall automatically learn from developers' code corrections by using those corrections as feedback to improve future suggestions.,"Automatic feedback based on code correction made by the developer."" (P57)"
c-q1-03,functional,The system shall support natural language conversational interactions to allow users to give feedback and iteratively refine generated code.,"""would be nice if we could give feedback to it like how we chat with chatGPT"" (P39)"
c-q1-03,functional,"The system shall allow distinguishing between long and short code generation modes (i.e., configurable generation length).","""distinguish[ing when to do] long code generation and short code [generation]"" (P240)"
c-q2-07,functional,"The system shall decompose a data analysis task into modular, hierarchical steps and formulate rules for task allocation and scheduling.","Initiated by scientific insights from LLMs, Bio-Copilot decomposes a bioinformatics task into modular, hierarchical steps and then formulates rules for task allocation and scheduling."
c-q2-07,functional,The system shall use planning agent groups to generate explicit execution plans either independently or in collaboration with human researchers.,the planning agent groups—either independently or in collaboration with human researchers—generate more explicit execution plans for the respective steps.
c-q2-07,functional,"The system shall assign agents distinct roles, such as planner and coder, within groups and coordinate their collaboration to fulfill group objectives.","In each group, agents are assigned distinct roles, such as planner and coder, and collaborate to fulfill the group’s objective."
c-q2-07,functional,"The system shall perform stepwise execution where a fine-level planning group refines the current step’s plan and an action execution group carries out code writing, executing, and debugging based on the step-refined plan.","The step-by-step execution consists of two parts: (i) a fine-level planning group refines the current step’s plan and (ii) an action execution group carries out code writing, executing, and debugging based on the step-refined plan."
c-q2-07,functional,"The system shall enable agents to self-reflect, retrieve information from a knowledge base, and interact with human researchers at the right time.","agents in Bio-Copilot can self-reflect, retrieve information from the knowledge base, and interact with human researchers at the right time."
c-q2-07,functional,"The system shall provide a user-friendly, highly real-time human–agent interaction mechanism to alleviate agent misunderstandings on task prompts or context.","we devised a user-friendly , highly real-time human–agent interaction mechanism to alleviate the misunderstandings of agents on task prompts or context."
