article_ID,relevance_score,justification
a-01,0.50,"The article studies AI coding assistants (GitHub Copilot) for code generation and knowledge transfer in programming tasks, which is partially relevant to the target system. However, it focuses on general software engineering tasks with computer science students rather than specifically addressing agentic AI systems for data scientists or natural scientists in data analysis contexts."
a-02,0.40,"The article discusses AI tools for code generation (like GitHub Copilot) and developer perspectives on AI-assisted development, which is partially related to the target system. However, it focuses on general software development tasks and does not specifically address agentic AI for data scientists or natural scientists in scientific data analysis contexts."
a-03,0.40,"The article addresses AI-powered code assistance within Jupyter notebooks for data analysis tasks, which partially aligns with the target system. However, JELAI is specifically designed for educational contexts and student learning (pedagogical scaffolding, help-seeking behavior analysis), rather than supporting professional data scientists or natural scientists with code generation for research."
a-04,0.50,"The article discusses AI agents for scientific research in materials sciences, which partially aligns with supporting natural scientists. It mentions data analysis capabilities and Python integration for coding operations (e.g., reading CSV files, generating visualizations), but focuses broadly on AI assistants for literature review, materials discovery, and research workflow rather than specifically on agentic AI for writing source code for data analysis."
a-05,0.40,"This article studies LLM-based code documentation generation in a scientific context (Python code from European XFEL), which partially relates to AI-assisted coding tasks. However, it focuses on documentation generation rather than code generation for data analysis, and does not address agentic AI systems specifically designed to support data scientists or natural scientists in writing source code."
a-06,0.85,"This article directly addresses the use of generative AI for data analysis code generation, which is the core function of the target system. It discusses LLMs translating high-level user intents into executable code for data cleaning, transformations, and visualization—exactly the tasks data scientists would use an agentic AI code generation system for. While the article covers general data analysis rather than specifically scientists, it provides extensive coverage of AI-powered code generation tools and workflows relevant to the target system."
a-07,0.95,"This article directly addresses the target system by studying how generative AI (specifically Bing Chat) assists users in writing analysis code, debugging scripts, and generating data analysis strategies for scientific workflows. It provides empirical insights into the opportunities and challenges of AI-assisted code generation for data analysis, which is precisely the domain of the target agentic AI system."
c-q1-01,0.35,"The article studies GitHub Copilot, an AI code generation tool, which is partially related to the target system. However, it focuses on general software development (HTTP server in JavaScript) with professional developers, not on agentic AI specifically supporting data scientists or natural scientists in writing data analysis code."
c-q1-02,0.40,"The article examines GitHub Copilot, an AI code generation tool, which is partially relevant to AI-assisted code writing. However, it focuses on general open-source software development rather than specifically supporting data scientists or natural scientists with data analysis code, and does not address agentic AI systems for scientific workflows."
c-q1-03,0.35,"This article surveys developers on general AI programming assistants (like GitHub Copilot) and provides insights into usability challenges, but it does not specifically address agentic AI systems for scientific/data analysis code generation or target data scientists and natural scientists. It is partially related as it covers AI for code generation, but lacks focus on the scientific domain or agentic capabilities."
c-q1-04,0.50,"The article directly addresses agentic AI systems for code generation and compares coding agents vs copilots, which is relevant to the target system. However, it focuses on general software development workflows (bug fixing, feature addition in repositories like matplotlib/scikit-learn) rather than specifically supporting data scientists or natural scientists with data analysis code, placing it in the medium relevance category."
c-q1-05,0.35,"The article studies AI code generation tools (GitHub Copilot) and their impact on developer productivity and frustration, which is partially related to the target system. However, it focuses on general software development tasks and generic developer workflows rather than specifically addressing data scientists, natural scientists, or data analysis code generation workflows that the target agentic AI system is designed for."
c-q1-06,0.40,"This article studies AI programming assistants (like GitHub Copilot) for general code generation, which is partially related to the target system. However, it focuses on general software developers rather than data scientists or natural scientists, and does not specifically address data analysis code generation or agentic AI systems for scientific workflows."
c-q1-07,0.20,"This article focuses on general software engineering and how software engineers use AI tools like GitHub Copilot for coding tasks. While it discusses AI-assisted code generation, it does not address the specific target system of agentic AI supporting data scientists and natural scientists in writing source code for data analysis. The context, users, and examples are from general software engineering rather than scientific data analysis."
c-q1-08,0.50,"The article discusses AI-native software engineering and AI coding assistants (SE 3.0), which relates to agentic AI for code generation. However, it focuses on general software engineering rather than specifically supporting data scientists and natural scientists in writing data analysis code, making it only partially relevant to the target system."
c-q1-09,0.35,"The article discusses AI-powered code generation tools (Microsoft Copilot) for software development, which is partially relevant to code generation. However, it focuses on general software engineering workflows and developer productivity rather than specifically supporting data scientists or natural scientists with scientific data analysis code, and does not address agentic AI systems for scientific workflows."
c-q1-10,0.40,"This article discusses AI-powered code generation (Microsoft Copilot) but is focused specifically on Office 365 enterprise development for general business applications, not on supporting data scientists or natural scientists with scientific/data analysis code. It represents partial relevance as it addresses AI for code generation but in an unrelated domain (enterprise Microsoft ecosystem) rather than the scientific research context specified in the target system."
c-q1-11,0.40,"The article examines AI assistants (like GitHub Copilot and Cursor) for code generation and their impact on software maintainability. While it directly addresses AI for code generation, it focuses on general software engineering tasks rather than the specific target domain of supporting data scientists and natural scientists with data analysis code."
c-q1-12,0.40,"The article examines AI-assisted programming (GitHub Copilot) for code generation, which is partially relevant to the target system. However, it focuses on general software development productivity and technical debt in OSS projects, not specifically on supporting data scientists or natural scientists with data analysis code. The context is entirely general software engineering rather than scientific code generation."
c-q1-13,0.40,"The article discusses AI pair programmers for code generation in general software engineering contexts (e.g., GitHub issues, architecture design), but it does not specifically address agentic AI for scientific or data analysis code generation targeted at data scientists and natural scientists."
c-q1-15,0.40,"The article addresses AI for code generation (mentioning Copilot) and studies factors affecting developers' trust in genAI tools, which is partially relevant to the target system. However, it focuses on general software developers at tech companies rather than data scientists or natural scientists, and examines general software development rather than specifically data analysis code generation."
c-q1-16,0.35,"The article studies GitHub Copilot, an AI code generation tool, which is partially relevant to the target system. However, it focuses on novice programmers in introductory programming courses (CS1) solving a Minesweeper game assignment, not on supporting data scientists or natural scientists with data analysis code. It addresses AI code generation but not in the scientific domain or for the target user group."
c-q1-17,0.35,"The article studies GitHub Copilot, an AI code completion tool, but focuses on general software developers at Microsoft and Accenture rather than data scientists or natural scientists. It addresses AI for code generation (partial match) but not specifically for data analysis tasks or the agentic AI capabilities needed to support scientific research workflows."
c-q1-18,0.50,"This meta-analysis covers LLM-based programming tools (e.g., GitHub Copilot, Claude Code) and mentions researchers/data scientists as user groups, including Jupyter notebook integrations for data analysis. However, it focuses broadly on general software development and programming assistants rather than specifically addressing agentic AI systems designed to support natural scientists in writing data analysis code."
c-q1-19,0.40,"The article studies AI coding assistants (ACATs) like GitHub Copilot for general software development tasks, which is partially related to the target system since it covers AI for code generation. However, it does not specifically address agentic AI for data scientists or natural scientists in data analysis contexts - the tasks studied are general programming tasks (algorithms, management systems) rather than scientific data analysis workflows."
c-q1-20,0.40,"The article evaluates GitHub Copilot for general software development code generation, which is partially related to the target system. However, it does not specifically address agentic AI for data scientists or natural scientists conducting data analysis, focusing instead on general developer productivity in cloud software development."
c-q2-01,0.95,"This article directly investigates AI-based coding assistants specifically designed to support data scientists in writing code for data analysis tasks within Jupyter notebooks, which closely matches the target system of agentic AI for scientific/data analysis code generation. The study examines code recommendations, alternative solutions, and workflow-aware prompting for descriptive and predictive data science tasks."
c-q2-02,0.90,"This article directly describes Data-Copilot, an agentic AI system that generates code for data analysis tasks—exactly matching the target system. It addresses the core problem of helping users (including data scientists) with automated data querying, processing, and visualization through LLM-generated code, with innovative interface design and workflow deployment phases."
c-q2-03,0.55,"The article discusses ChatGPT's capabilities in assisting data scientists with code-related tasks (programming explanations, code examples, debugging), which partially aligns with the target system. However, it focuses on conversational AI assistance rather than agentic AI systems that autonomously plan and execute data analysis code generation for scientists."
c-q2-04,0.35,"The article studies AI code completion tools (GitHub Copilot) for general software development, which is partially related to code generation. However, it does not specifically address agentic AI systems for data scientists or natural scientists in scientific data analysis contexts, making it only partially relevant to the target system."
c-q2-05,0.50,"The article discusses generative AI (ChatGPT, Copilot) for code generation and includes data scientists among participants, but focuses on general software development workflows rather than specifically supporting data scientists or natural scientists in data analysis tasks. It does not address agentic AI systems or the specific domain of scientific data analysis code generation."
c-q2-06,0.95,"This article directly addresses the design and implementation of AI-powered code assistants for data scientists in computational notebooks (like Jupyter), which is precisely the target system. It provides empirical insights from 15 professional data scientists on how agentic AI should be designed to support code generation for data analysis tasks."
c-q2-07,0.90,"This article directly describes Bio-Copilot, an agentic AI system that generates code for large-scale bioinformatics data analysis tasks (e.g., data integration, clustering, cell-type annotation). It uses multi-agent LLM architecture with human-AI collaboration to help scientists write and execute source code for omics research, directly matching the target system of agentic AI for scientific code generation."
c-q2-09,0.35,"The article discusses AI collaboration in scientific research contexts (genomics, drug discovery, data analysis) but focuses on general enterprise AI platforms (Azure AI, Copilot, Power Platform) rather than agentic AI systems specifically designed to help data scientists write source code for data analysis. It addresses scientific AI broadly without targeting code generation tools."
c-q2-10,0.95,"This article directly addresses the target system by presenting AI-assisted tools (Stepwise and Phasewise) that help data scientists write and verify source code for data analysis. It specifically focuses on agentic AI capabilities like task decomposition, steering, and verification—key features for supporting scientists in code generation tasks."
c-q2-11,0.45,"The article discusses AI copilots like GitHub Copilot for code generation, which partially relates to the target system. However, it focuses broadly on AI copilots in general knowledge work rather than specifically addressing agentic AI systems for data scientists and natural scientists writing data analysis code."
c-q2-12,0.10,"The article focuses on AI tools for scientific writing and manuscript preparation in nursing research, not on agentic AI systems for generating source code for data analysis. While it mentions RapidMiner briefly for data pattern identification, the primary focus is on writing assistants like ChatGPT, Grammarly, and Writefull, which are unrelated to the target system's code generation purpose."
c-q2-13,0.35,"The article studies M365 Copilot user perceptions at a scientific research organization (CSIRO), which partially aligns with the target system's domain (scientific AI). However, it focuses on general productivity tasks (meeting summaries, email drafting, document creation) rather than agentic AI for data analysis code generation. While it briefly mentions GitHub Copilot for coding, the study does not address AI systems that support data scientists in writing source code for data analysis."
c-q2-14,0.40,"The article discusses AI (ChatGPT) for code generation and software modeling tasks, which is partially related to the target system. However, it focuses on general software engineering and UML modeling rather than specifically supporting data scientists or natural scientists in writing source code for data analysis."
c-q2-15,0.55,"QSP-Copilot is an agentic AI system that uses multi-agent LLMs to automate scientific model development and generates code (SBML, R, Python) for data analysis in pharmacology. However, it is highly domain-specific (Quantitative Systems Pharmacology) rather than a general-purpose tool for data scientists, making it only partially relevant to the broader target of supporting scientists with general data analysis code generation."
c-q2-16,0.15,"This article focuses on Microsoft Copilot integration within unified communications platforms (Teams) for general business communication, meeting management, and collaboration—not for code generation. While it briefly mentions agentic AI in the future research section, it remains within the context of enterprise communication tools, with no relevance to supporting data scientists or natural scientists in writing source code for data analysis."
c-q2-17,0.20,"This article focuses on general AI-assisted decision-making in domains like clinical diagnosis, credit assessment, and driving assistance. While it discusses human-AI collaboration and mental models, it does not address agentic AI for code generation or supporting data scientists/natural scientists with writing source code for data analysis - the core functionality of the target system."
c-q2-18,0.20,"The article discusses general human-AI collaboration for productivity and decision-making across various sectors including healthcare, finance, and business. While it briefly mentions AI helping scientists analyze large datasets and generate insights (page 12-13), it does not address agentic AI systems or code generation for data analysis. The content focuses on AI as a decision-support tool rather than as an assistant for writing source code, making it only loosely related to the target system."
c-q2-19,0.15,"This article focuses on using AI chatbots for metadata augmentation and document classification in academic library settings, not on agentic AI systems that support data scientists or natural scientists in writing source code for data analysis. While it mentions AI chatbots can be used as coding assistants, this is a minor point and the core research is unrelated to the target system's purpose."
c-q2-20,0.40,"The article discusses AI-powered code generation (DAX formulas, SQL queries) within Power BI Copilot, which partially aligns with the target system's focus on AI for code generation. However, it targets business intelligence and non-technical business users rather than data scientists or natural scientists conducting scientific data analysis."
c-q3-01,0.45,"The article addresses AI copilots for scientific research, including data analysis and supporting natural scientists, which partially aligns with the target system. However, it focuses on general scientific discovery workflows (hypothesis generation, experimental design, data analysis) rather than specifically supporting data scientists in writing source code for data analysis, which is the core focus of the target system."
c-q3-05,0.40,"The article discusses an AI copilot system that translates natural language into executable code for robotic chemical synthesis, which partially aligns with the target system's focus on agentic AI for code generation. However, it focuses specifically on laboratory robotics for inorganic materials synthesis rather than supporting data scientists in writing data analysis code."
c-q3-06,0.30,"The article discusses collaborative AI (ChatGPT and Gemini) for materials science image analysis within the CRESt system, which partially relates to AI for scientific applications. However, it focuses primarily on image analysis and contains only minimal code elements (a Python automation script), rather than addressing agentic AI systems that help scientists write source code for data analysis."
c-q3-08,0.35,"The article discusses AI for scientific discovery and data analysis in science, which partially overlaps with supporting scientists with data analysis. However, it does not address the core aspect of the target system: agentic AI that helps write source code for data analysis. The article focuses on AI methods for doing science (hypothesis generation, experiments, simulations) rather than AI tools for code generation."
c-q3-09,0.00,"This article describes PathChat, a multimodal AI copilot for human pathology (medical image analysis for cancer diagnosis), which is entirely unrelated to agentic AI systems that support data scientists in writing source code for data analysis. The target system focuses on code generation for data analysis, while this article addresses clinical pathology decision support with vision-language models."
c-q3-10,0.15,"This article describes CARCO, an AI platform for carbon nanomaterial synthesis research, which is in the domain of materials science/chemistry rather than data analysis code generation. While it uses AI/LLMs to assist scientists, the system is focused on automating physical experiments (chemical vapor deposition) and predicting catalyst performance, not on helping scientists write source code for data analysis workflows."
c-q3-11,0.50,"The article describes an AI Reproducibility Copilot that generates Jupyter Notebooks and detects reproducibility issues in scientific code, which partially aligns with supporting scientists in data analysis workflows. However, it focuses primarily on reproducing existing research rather than helping scientists write new source code for data analysis from scratch."
c-q3-15,0.20,"The article discusses AI as a 'scientific copilot' for writing scientific manuscripts in analytical chemistry, but it focuses on prose writing (literature reviews, manuscript drafting, peer review) rather than source code generation for data analysis. While it mentions AI tools like ChatGPT in a scientific context, it does not address agentic AI systems for code writing, making it only tangentially related to the target system."
