article_ID,requirement_type,requirement,exact_text_quote
a-01,functional,The system shall support knowledge transfer between the AI and the user during code generation tasks.,Knowledge transfer occurs in both human–human pair programming and human–AI pair programming.
a-01,functional,The system shall provide proactive suggestions that remind users of important implementation details they might otherwise overlook.,"GITHUB COPILOT can even subtly provide helpful reminders, such as suggesting missing database commits."
a-01,functional,The system shall enable users to understand and internalize the knowledge transferred through explanations or code suggestions.,The customer fully understands and internalizes the knowledge shared by the partner. Knowledge transfer is complete and effective.
a-01,functional,"The system shall support knowledge transfer across multiple topic types including code structure, programming language syntax, bugs, and domain-specific knowledge.","we classify utterances using topic types based on the classes established by Kuttal et al. [7] . Although this list of classes cannot be exhaustive, it provides a structured overview of common topics discussed in knowledge transfer episodes."
a-01,non-functional,The system shall minimize user distraction during knowledge transfer interactions.,"GITHUB COPILOT promotes more focused interactions—though users tend to trust its suggestions more readily, raising questions about critical engagement."
a-01,functional,The system shall support knowledge transfer related to programming language syntax and semantics.,PROGRAM Knowledge about the programming language itself or it’s syntax.
a-01,functional,The system shall support knowledge transfer related to debugging and error identification.,BUG An error in the code.
a-01,functional,The system shall support knowledge transfer related to code implementation and structure.,"CODE The code itself; i.e., what they are programming"
a-01,functional,The system shall support knowledge transfer related to domain-specific tasks and context.,DOMAIN The task (in case of [ 7]: implement tic-tac-toe game)
a-01,functional,The system shall support knowledge transfer related to development tools and IDE usage.,TOOL Knowledge about the IDE or how to use the tool.
a-01,non-functional,The system shall encourage users to critically evaluate suggestions rather than accepting them without scrutiny.,"Programmers tend to accept the assistant's suggestions with minimal scrutiny, relying on the assumption that the code will perform as intended."
a-01,functional,The system shall enable users to build new knowledge by trying to understand the code presented by the AI assistant.,"This form of knowledge transfer was named a ""co-production"" by Zieris and Prechelt [6] . Originally, for human–human pair programming, this defines episodes where the programmers work together on building new knowledge (e.g., discovering a bug and its cause) [ 6]."
a-01,functional,The system shall support knowledge transfer through code co-production where users create code with AI assistance and verify its correctness.,this often included episodes in the human–AI pair programming setting where a programmer creates code with the help of the assistant and verifies (verbally) that the code actually fulfills its purpose.
a-01,non-functional,The system shall provide knowledge transfer that is focused on the immediate task while reducing unrelated topic shifts.,human–human pair programming group are interrupted by an unrelated issue
a-01,functional,The system shall support knowledge transfer through push mode where the AI proactively shares information the user might need.,"GITHUB COPILOT can sometimes convey knowledge subtly, even without an explicit prompt or preceding comment."
a-02,functional,"The system shall generate unit, integration, and functional tests automatically to reduce the monotony of manual testing.",Unit testing is a monotonous process. It would be great if AI can auto generate these cases.
a-02,functional,"The system shall analyze code for defects, vulnerabilities, and optimizations to identify potential issues during development.","I think AI is good at doing closed-loop tasks and surfacing common insights from data it has seen. For example, code vulnerabilities and optimizations have been written and discussed online for decades, and they are plentiful in every codebase."
a-02,functional,The system shall provide real-time code review feedback prior to human peer review.,It would be absolutely awesome to have AI check code prior to asking peers for code reviews.
a-02,functional,The system shall generate documentation from written code to assist with understanding and onboarding.,"If AI is able to create documentation from previously written code, that would make onboarding onto unfamiliar code a lot easier."
a-02,functional,"The system shall perform root-cause analysis for bugs and incidents by automating data analysis, pattern recognition, and fault localization.","I would like tools to auto-analyze and identify the root cause of [service incidents] or at least get me close. Run queries, find where the faults happened, add that to the ticket."
a-02,functional,The system shall assist with boilerplate code generation and framework scaffolding.,"It's fantastic for boilerplate, or roughly sketching out a framework."
a-02,functional,The system shall help developers interact with unfamiliar APIs by providing usage guidance without requiring manual documentation search.,I often have to look up usage of APIs that I am not familiar with. I do not want to have to sift through [documentation].
