article_ID,requirement_type,requirement,exact_text_quote
a-01,functional,The system shall enable users to build new knowledge by trying to understand the code presented by the AI assistant.,"This form of knowledge transfer was named a ""co-production"" by Zieris and Prechelt [6] . Originally, for human–human pair programming, this defines episodes where the programmers work together on building new knowledge (e.g., discovering a bug and its cause) [ 6]."
a-01,functional,The system shall enable users to understand and internalize the knowledge transferred through explanations or code suggestions.,The customer fully understands and internalizes the knowledge shared by the partner. Knowledge transfer is complete and effective.
a-01,functional,The system shall provide proactive suggestions that remind users of important implementation details they might otherwise overlook.,"GITHUB COPILOT can even subtly provide helpful reminders, such as suggesting missing database commits."
a-01,functional,The system shall support code generation while providing an experience similar to working with a human partner.,our approach emphasizes code generation while offering the human programmer an experience similar to working with a human partner.
a-01,functional,The system shall support episodes in which a user explicitly expresses a need for knowledge or shares knowledge they possess.,"An episode is defined as a sequence of related utterances focused on a single topic, initiated either by a person explicitly expressing a need for knowledge or a person sharing knowledge they possess with others."
a-01,functional,The system shall support knowledge transfer about errors in the code.,BUG An error in the code.
a-01,functional,The system shall support knowledge transfer about the code itself.,"CODE The code itself; i.e., what they are programming"
a-01,functional,The system shall support knowledge transfer about the IDE or how to use the tool.,TOOL Knowledge about the IDE or how to use the tool.
a-01,functional,The system shall support knowledge transfer about the programming language itself or its syntax.,PROGRAM Knowledge about the programming language itself or it’s syntax.
a-01,functional,The system shall support knowledge transfer about the task being implemented.,DOMAIN The task (in case of [ 7]: implement tic-tac-toe game)
a-01,functional,The system shall support knowledge transfer about the techniques being used.,"TECHNIQUE About the techniques being used (i.e., test driven development, pair programming)"
a-01,functional,"The system shall support knowledge transfer across multiple topic types including code structure, programming language syntax, bugs, and domain-specific knowledge.","we classify utterances using topic types based on the classes established by Kuttal et al. [7] . Although this list of classes cannot be exhaustive, it provides a structured overview of common topics discussed in knowledge transfer episodes."
a-01,functional,The system shall support knowledge transfer between the AI and the user during code generation tasks.,Knowledge transfer occurs in both human–human pair programming and human–AI pair programming.
