Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"The Impact of AI on Developer Productivity: Evidence from GitHub Copilot","GitHub Copilot, an AI pair programmer, significantly increased software developers' productivity by 55.8% when implementing an HTTP server in JavaScript compared to a control group.","Sida Peng, Eirini Kalliamvakou, Peter Cihon, Mert Demirer",2023,444,"Generative AI tools hold promise to increase human productivity. This paper presents results from a controlled experiment with GitHub Copilot, an AI pair programmer. Recruited software developers were asked to implement an HTTP server in JavaScript as quickly as possible. The treatment group, with access to the AI pair programmer, completed the task 55.8% faster than the control group. Observed heterogenous effects show promise for AI pair programmers to help people transition into software development careers.","","ArXiv","","10.48550/arXiv.2302.06590","https://consensus.app/papers/the-impact-of-ai-on-developer-productivity-evidence-from-peng-kalliamvakou/1a2cf1bd0d855faf97982172d00c9c34/"
"The Impact of Generative AI on Collaborative Open-Source Software Development: Evidence from GitHub Copilot","GitHub Copilot increases project-level code contributions by 5.9%, but slows coordination time by 8%, resulting in a net gain in overall project-level productivity.","Fangchen Song, Ashish Agarwal, Wen Wen",2024,17,"Generative artificial intelligence (AI) enables automated content production, including coding in software development, which can significantly influence developer participation and performance. To explore its impact on collaborative open-source software (OSS) development, we investigate the role of GitHub Copilot, a generative AI pair programmer, in OSS development where multiple distributed developers voluntarily collaborate. Using GitHub's proprietary Copilot usage data, combined with public OSS repository data obtained from GitHub, we find that Copilot use increases project-level code contributions by 5.9%. This gain is driven by a 2.1% increase in individual code contributions and a 3.4% rise in developer coding participation. However, these benefits come at a cost as coordination time for code integration increases by 8% due to more code discussions enabled by AI pair programmers. This reveals an important tradeoff: While AI expands who can contribute and how much they contribute, it slows coordination in collective development efforts. Despite this tension, the combined effect of these two competing forces remains positive, indicating a net gain in overall project-level productivity from using AI pair programmers. Interestingly, we also find the effects differ across developer roles. Peripheral developers show relatively smaller gains in project-level code contributions and face a higher increase in coordination time than core developers, likely due to the difference in their project familiarity. In summary, our study underscores the dual role of AI pair programmers in affecting project-level code contributions and coordination time in OSS development. Our findings on the differential effects between core and peripheral developers also provide important implications for the structure of OSS communities in the long run.","","ArXiv","","10.2139/ssrn.4856935","https://consensus.app/papers/the-impact-of-generative-ai-on-collaborative-opensource-song-agarwal/5d54c8141d065a9e85bd870f575bcb38/"
"A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges","AI programming assistants are most useful for reducing key-strokes, finishing tasks quickly, and recalling syntax, but not for brainstorming solutions or addressing functional or non-functional requirements.","Jenny T Liang, Chenyang Yang, B. Myers",2023,160,"The software engineering community recently has witnessed widespread deployment of AI programming assistants, such as GitHub Copilot. However, in practice, developers do not accept AI programming assistants' initial suggestions at a high frequency. This leaves a number of open questions related to the usability of these tools. To understand developers' practices while using these tools and the important usability challenges they face, we administered a survey to a large population of developers and received responses from a diverse set of 410 developers. Through a mix of qualitative and quantitative analyses, we found that developers are most motivated to use AI programming assistants because they help developers reduce key-strokes, finish programming tasks quickly, and recall syntax, but resonate less with using them to help brainstorm potential solutions. We also found the most important reasons why developers do not use these tools are because these tools do not output code that addresses certain functional or non-functional requirements and because developers have trouble controlling the tool to generate the desired output. Our findings have implications for both creators and users of AI programming assistants, such as designing minimal cognitive effort interactions with these tools to reduce distractions for users while they are programming.","","2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE)","","10.1145/3597503.3608128","https://consensus.app/papers/a-largescale-survey-on-the-usability-of-ai-programming-liang-yang/64fb4f3a5e665074b57a5567e0867304/"
"Code with Me or for Me? How Increasing AI Automation Transforms Developer Workflows","Code coding agents can enhance developer productivity and experience by completing tasks beyond copilots and reducing effort, but challenges remain in broader adoption and user understanding.","Valerie Chen, Ameet Talwalkar, Robert Brennan, Graham Neubig",2025,5,"Developers now have access to a growing array of increasingly autonomous AI tools for software development. While many studies examine copilots that provide chat assistance or code completions, evaluations of coding agents -- which can automatically write files and run code -- still rely on static benchmarks. We present the first controlled study of developer interactions with coding agents, characterizing how more autonomous AI tools affect productivity and experience. We evaluate two leading copilot and agentic coding assistants, recruiting participants who regularly use the former. Our results show agents can assist developers in ways that surpass copilots (e.g., completing tasks humans may not have accomplished) and reduce the effort required to finish tasks. Yet challenges remain for broader adoption, including ensuring users adequately understand agent behaviors. Our findings reveal how workflows shift with coding agents and how interactions differ from copilots, motivating recommendations for researchers and highlighting challenges in adopting agentic systems.","","ArXiv","","10.48550/arxiv.2507.08149","https://consensus.app/papers/code-with-me-or-for-me-how-increasing-ai-automation-chen-talwalkar/bc19be84742256c192b3becbb16d589b/"
"How do Copilot Suggestions Impact Developers' Frustration and Productivity?","Automatic suggestions from AI-based development tools can reduce frustration and increase productivity for novice developers, but may negatively impact experienced developers' productivity.","Emanuela Guglielmi, Venera Arnoudova, G. Bavota, Rocco Oliveto, Simone Scalabrino",2025,0,"Context. AI-based development tools, such as GitHub Copilot, are transforming the software development process by offering real-time code suggestions. These tools promise to improve the productivity by reducing cognitive load and speeding up task completion. Previous exploratory studies, however, show that developers sometimes perceive the automatic suggestions as intrusive. As a result, they feel like their productivity decreased. Theory. We propose two theories on the impact of automatic suggestions on frustration and productivity. First, we hypothesize that experienced developers are frustrated from automatic suggestions (mostly from irrelevant ones), and this also negatively impacts their productivity. Second, we conjecture that novice developers benefit from automatic suggestions, which reduce the frustration caused from being stuck on a technical problem and thus increase their productivity. Objective. We plan to conduct a quasi-experimental study to test our theories. The empirical evidence we will collect will allow us to either corroborate or reject our theories. Method. We will involve at least 32 developers, both experts and novices. We will ask each of them to complete two software development tasks, one with automatic suggestions enabled and one with them disabled, allowing for within-subject comparisons. We will measure independent and dependent variables by monitoring developers' actions through an IDE plugin and screen recording. Besides, we will collect physiological data through a wearable device. We will use statistical hypothesis tests to study the effects of the treatments (i.e., automatic suggestions enabled/disabled) on the outcomes (frustration and productivity).","","ArXiv","","10.48550/arxiv.2504.06808","https://consensus.app/papers/how-do-copilot-suggestions-impact-developers-frustration-guglielmi-arnoudova/292b9780b53552b48866e30086d8180f/"
"Understanding the Usability of AI Programming Assistants","AI programming assistants are most useful for reducing key-strokes, finishing tasks quickly, and recalling syntax, but not for brainstorming solutions or controlling the tool.","Jenny T. Liang, Chenyang Yang, Brad A. Myers",2023,43,"The software engineering community recently has witnessed wide-spread deployment of AI programming assistants, such as GitHub Copilot. However, in practice, developers do not accept AI programming assistants’ initial suggestions at a high frequency. This leaves a number of open questions related to the usability of these tools. To understand developers’ practices while using these tools and the important usability challenges they face, we administered a survey to a large population of developers and received responses from a diverse set of 410 developers. Through a mix of qualitative and quantitative analyses, we found that developers are most motivated to use AI programming assistants because they help developers reduce key-strokes, finish programming tasks quickly, and recall syntax, but resonate less with using them to help brainstorm potential solutions. We also found the most important reasons why developers do not use these tools are because these tools do not output code that addresses certain functional or non-functional requirements and because developers have trouble controlling the tool to generate the desired output. Our findings have implications for both creators and users of AI programming assistants, such as designing minimal cognitive effort interactions with these tools to reduce distractions for users while they are programming.","","ArXiv","","10.48550/arxiv.2303.17125","https://consensus.app/papers/understanding-the-usability-of-ai-programming-assistants-liang-yang/ac8ebf7d599a56b895aee0b6d844c2ff/"
"How Software Engineers Engage with AI: A Pragmatic Process Model and Decision Framework Grounded in Industry Observations","This paper presents a pragmatic process model and decision framework to help software engineers navigate AI-assisted Software Engineering activities with human oversight, enhancing productivity and decision support.","Vahid Garousi, Zafar Jafarov",2025,0,"Artificial Intelligence (AI) has the potential to transform Software Engineering (SE) by enhancing productivity, efficiency, and decision support. Tools like GitHub Copilot and ChatGPT have given rise to""vibe coding""-an exploratory, prompt-driven development style. Yet, how software engineers engage with these tools in daily tasks, especially in deciding whether to trust, refine, or reject AI-generated outputs, remains underexplored. This paper presents two complementary contributions. First, a pragmatic process model capturing real-world AI-assisted SE activities, including prompt design, inspection, fallback, and refinement. Second, a 2D decision framework that could help developers reason about trade-offs between effort saved and output quality. Grounded in practitioner reports and direct observations in three industry settings across Turkiye and Azerbaijan, our work illustrates how engineers navigate AI use with human oversight. These models offer structured, lightweight guidance to support more deliberate and effective use of AI tools in SE, contributing to ongoing discussions on practical human-AI collaboration.","","ArXiv","","10.48550/arxiv.2507.17930","https://consensus.app/papers/how-software-engineers-engage-with-ai-a-pragmatic-process-garousi-jafarov/b7df828e57815639b024e0bf3fd86a19/"
"Towards AI-Native Software Engineering (SE 3.0): A Vision and a Challenge Roadmap","AI-native Software Engineering 3.0 (SE 3.0) aims to improve developer productivity and reduce cognitive strain by fostering a symbiotic relationship between human developers and AI teammates.","Ahmed E. Hassan, G. Oliva, Dayi Lin, Boyuan Chen, Zhen Ming Jiang",2024,20,"The rise of AI-assisted software engineering (SE 2.0), powered by Foundation Models (FMs) and FM-powered coding assistants, has shown promise in improving developer productivity. However, it has also exposed inherent limitations, such as cognitive overload on developers and inefficiencies. We propose a shift towards Software Engineering 3.0 (SE 3.0), an AI-native approach characterized by intent-centric, conversation-oriented development between human developers and AI teammates. SE 3.0 envisions AI systems evolving beyond task-driven copilots into intelligent collaborators, capable of deeply understanding and reasoning about software engineering principles and intents. We outline the key components of the SE 3.0 technology stack, which includes Teammate.next for adaptive and personalized AI partnership, IDE.next for intent-centric conversation-oriented development, Compiler.next for multi-objective code synthesis, and Runtime.next for SLA-aware execution with edge-computing support. Our vision addresses the inefficiencies and cognitive strain of SE 2.0 by fostering a symbiotic relationship between human developers and AI, maximizing their complementary strengths. We also present a roadmap of challenges that must be overcome to realize our vision of SE 3.0. This paper lays the foundation for future discussions on the role of AI in the next era of software engineering.","","ArXiv","","10.48550/arxiv.2410.06107","https://consensus.app/papers/towards-ainative-software-engineering-se-30-a-vision-and-a-hassan-oliva/22069c34d40352fe92a191602b4f98eb/"
"Engineering in the Age of AI: Leveraging Copilot for Enhanced Software Development","AI-powered development tools like Microsoft Copilot accelerate software development velocity while maintaining code quality, allowing engineers to focus on higher-value creative and strategic activities.","Santosh Ratna Deepika Addagalla",2025,0,"The emergence of AI-powered development tools like Microsoft Copilot has fundamentally transformed the software engineering landscape. These intelligent assistants serve as force multipliers for engineering talent, enabling dramatic acceleration in development velocity while maintaining or improving code quality across multiple dimensions. From code generation and refactoring to automated testing and documentation, AI assistants enhance human capabilities rather than replacing them, allowing engineers to focus on higher-value creative and strategic activities. Organizations implementing structured governance frameworks, systematic validation processes, and comprehensive capability development programs achieve significantly better outcomes than those pursuing ad-hoc adoption approaches. This technical article examines implementation strategies for effectively integrating AI assistants into development workflows, highlighting the critical balance between automation benefits and engineering ownership that characterizes successful AI-augmented engineering practices.","","International Journal of Engineering and Advanced Technology Studies","","10.37745/ijeats.13/vol13n12943","https://consensus.app/papers/engineering-in-the-age-of-ai-leveraging-copilot-for-addagalla/8b96a678fa255f15a7a590ba9d498b6c/"
"AI-Powered Development Ecosystem: Microsoft Copilot and Azure AI Accelerating Office 365 Solution Creation","AI technologies, such as Microsoft Copilot and Azure AI, significantly improve efficiency and productivity in the Office 365 development ecosystem.","Sivaprasad Yerneni Khaga",2025,0,"This article examines the transformative impact of AI technologies on Microsoft's Office 365 development ecosystem, focusing on the integration of Microsoft Copilot with Visual Studio and the deployment of Azure AI services as development accelerators. The article explores the architectural foundations of AI-assisted development environments, evaluates code generation capabilities for O365-specific frameworks, and assesses productivity metrics across different developer experience levels. The research investigates cognitive services integration patterns, custom model deployment workflows, and compares traditional versus AI-assisted development approaches. The article further examines AI-driven DevOps practices for O365 solutions, including intelligent automation of CI/CD pipelines, performance evaluation frameworks, and security governance considerations for AI-assisted deployments. Through quantitative and qualitative assessments, the article documents efficiency improvements across the software development lifecycle while identifying research limitations and emerging trends that will shape future enterprise software development practices.","","European Modern Studies Journal","","10.59573/emsj.9(5).2025.23","https://consensus.app/papers/aipowered-development-ecosystem-microsoft-copilot-and-khaga/d5b975ecd11750d9b791dbd8fc60f9fd/"
