article_ID,relevance_score,justification
a-01,0.78,"This article is highly relevant because it studies an AI coding assistant (GitHub Copilot) in a programming workflow and explicitly examines knowledge transfer during code generation. However, it focuses on software engineering pair programming rather than supporting data scientists or natural scientists in scientific data-analysis code writing, so the match is partial rather than direct."
a-02,0.72,"The article is about AI tools that help developers write, refactor, test, debug, and document code, which is closely related to the target system’s code-generation support. However, it focuses on general software developers and survey perceptions rather than an agentic AI system for scientific or data analysis coding."
a-03,0.78,"This article is highly relevant because it presents an AI tutoring platform inside Jupyter Notebooks that logs code interactions and supports context-aware assistance while users write analysis code. However, it is primarily aimed at educational support and learning analytics rather than directly generating source code for data scientists or natural scientists."
a-04,0.72,"The article is about AI agents for materials science and explicitly includes a data analysis function, literature search, and coding via plugins like Python runtime. It is not specifically about source-code generation for data scientists, but it is strongly related to agentic AI supporting scientific workflows in natural sciences."
a-05,0.86,"This article is directly about an LLM-powered IDE tool for generating code documentation, which is closely related to agentic AI support for code-writing tasks. It is not focused on scientific/data analysis code specifically, but it does address AI assistance for developers in producing source code-related artifacts."
a-06,0.98,"This paper directly addresses generative AI systems for data analysis, including translating user intent into executable code for cleaning, transformation, and visualization. It also discusses agentic and multi-agent workflows, human-in-the-loop interaction, and tools that support analysts in iterative code generation, making it highly relevant to the target system."
a-07,0.97,"This article directly studies generative AI assistance for data analysis workflows, including writing analysis code and suggesting analysis strategies. It is highly relevant to an agentic AI system that supports data scientists and natural scientists in code generation for data analysis, though it focuses more on workflow understanding and participatory prompting than on a fully autonomous agent."
c-q1-01,0.42,"The article is about an AI pair programmer (GitHub Copilot) that generates code and improves developer productivity, which is partially relevant to an agentic AI system for writing source code. However, it focuses on general software development rather than supporting data scientists or natural scientists in data analysis code generation."
c-q1-02,0.86,"This article is highly relevant because it studies GitHub Copilot as an AI pair programmer that generates code and affects coding participation and coordination in collaborative software development. It is not specifically about data analysis code for scientists, but it directly addresses agentic AI support for code generation in a development workflow."
c-q1-03,0.78,"This article is directly about AI programming assistants that generate code, which is relevant to a system supporting scientists in writing source code for data analysis. However, it focuses on general software developers and usability rather than agentic workflows or scientific/data-analysis-specific code generation."
c-q1-04,0.78,"This article is highly relevant because it studies agentic AI coding assistants that autonomously write and debug code, including tasks involving data analysis scripts. However, it focuses on general software development rather than specifically supporting data scientists or natural scientists in scientific code generation."
c-q1-05,0.92,"This article is highly relevant because it studies GitHub Copilot as an AI code assistant that provides automatic code suggestions, directly aligning with agentic AI support for code generation. Although it focuses on software developers rather than data scientists or natural scientists, the core topic is AI-assisted coding productivity and code suggestion behavior."
c-q1-06,0.78,"This article is highly relevant because it studies AI programming assistants that generate code, including how developers use them to write and complete code tasks. However, it focuses on general software developers rather than specifically supporting data scientists or natural scientists in scientific data analysis code generation."
c-q1-07,0.78,"The article is strongly related to AI-assisted code generation and human-in-the-loop workflows, which aligns with an agentic AI system supporting code writing. However, it focuses on general software engineering rather than specifically on data scientists or natural scientists doing data analysis code generation."
c-q1-08,0.78,"This paper is highly relevant because it proposes an AI-native software engineering system where AI teammates and intent-centric workflows generate and synthesize code, which aligns with agentic AI for code writing. However, it is framed broadly for software engineering rather than specifically for data analysis code used by data scientists or natural scientists."
c-q1-09,0.42,"The article is about AI-assisted code generation and workflow support, which is partially relevant to the target system. However, it focuses on general software engineering with Copilot rather than an agentic AI system specifically supporting data scientists or natural scientists in writing data analysis code."
c-q1-10,0.72,"The article is strongly about AI-assisted code generation and agentic development workflows, which aligns with the target system’s goal of helping users write source code. However, it focuses on enterprise Office 365/Visual Studio development rather than scientific or data analysis coding, so the match is partial rather than direct."
c-q1-11,0.78,"The article is directly about AI assistants that generate and evolve source code, and it evaluates downstream maintainability of code produced with AI support. However, it focuses on general software engineering rather than specifically supporting data scientists or natural scientists in data analysis code generation, so it is related but not a perfect match for the target system."
c-q1-12,0.98,"This article is directly about AI-assisted code generation with GitHub Copilot and its effects on software development and maintenance in OSS projects. While it is not specifically about scientific/data analysis coding, it is highly relevant to an agentic AI system that supports code writing because it studies AI pair programming, code productivity, and code quality/maintenance burdens."
c-q1-13,0.78,"The article is highly relevant to agentic AI for code generation because it proposes goal-driven AI pair programmers and multi-agent systems that write, refactor, and reason about code. However, it is framed around general software engineering rather than specifically supporting data scientists or natural scientists in data analysis code."
c-q1-15,0.78,"This article is about generative AI tools that help software developers with coding, trust, and adoption, which is partially aligned with an agentic AI system for code generation. However, it focuses on software engineering productivity and user trust rather than supporting data scientists or natural scientists in writing source code for data analysis."
c-q1-16,0.86,"The article is highly relevant because it studies GitHub Copilot, an AI code generation tool, in the context of novice programming and code writing support. While it focuses on introductory programming rather than data analysis for scientists, the agentic AI/code-assistance aspect is directly aligned with the target system."
c-q1-17,0.42,"The article is about an AI coding assistant that helps software developers write code, which is partially related to the target system. However, it focuses on general software engineering productivity rather than an agentic AI system for supporting data scientists or natural scientists in scientific data-analysis code generation."
